verweis;teil;name_long;name;type;type_short
Art1_1_GG;I;Menschenwürde;Menschenwürde;;
Art1_2_GG;I;;;;
Art1_3_GG;I;;;;
Art2_1_GG;I;Allgemeine Handlungsfreiheit;Allg. Handlungsfreiheit;Allg. Freiheitsrecht;Freiheitsrecht
Art2_2_GG;I;Recht auf Leben und körperliche Unversehrtheit / Freiheit der Person;Leben/körperliche Unversehrtheit/Freiheit der Person;Bes. Freiheitsrecht;Freiheitsrecht
Art3_1_GG;I;Allgemeiner Gleichheitsgrundsatz;Allg. Gleichheitssatz;Allg. Gleichheitsrecht;Gleichheitsrecht
Art3_2_GG;I;Gleichberechtigung von Mann und Frau;Gleichberechtigung Mann/Frau;Bes. Gleichheitsrecht;Gleichheitsrecht
Art3_3_GG;I;Diskriminierungsverbote;Diskriminierungsverbote;Bes. Gleichheitsrecht;Gleichheitsrecht
Art4_1_GG;I;Glaubens-, Gewissens-, Religions- und Weltanschauungsfreiheit;Religionsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art4_2_GG;I;Glaubens-, Gewissens-, Religions- und Weltanschauungsfreiheit;Religionsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art4_3_GG;I;Kriegsdienstverweigerung;Kriegsdienstverweigerung;Bes. Freiheitsrecht;Freiheitsrecht
Art5_1_GG;I;Meinungs- und Informationsfreiheit sowie Presse-, Rundfunk- und Filmfreiheit;Meinungsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art5_2_GG;I;;;;
Art5_3_GG;I;Kunst- und Wissenschaftsfreiheit;Kunst- und Wissenschaftsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art6_1_GG;I;Schutz von Ehe und Familie;Schutz von Ehe und Familie;Bes. Freiheitsrecht;Freiheitsrecht
Art6_2_GG;I;Elternrecht;Elternrecht;Bes. Freiheitsrecht;Freiheitsrecht
Art6_3_GG;I;;;;
Art6_4_GG;I;;;;
Art6_5_GG;I;Diskriminierungsverbot uneheliche Kinder;Diskriminierungsverbot uneheliche Kinder;Bes. Gleichheitsrecht;Gleichheitsrecht
Art7_1_GG;I;;;;
Art7_2_GG;I;Freie Teilnahme am Religionsunterricht;Religionsunterricht Teilnahme;Bes. Freiheitsrecht;Freiheitsrecht
Art7_3_GG;I;Religionsunterricht der Religionsgemeinschaften/Lehrfreiheit Religion;Religionsunterricht Ausrichtung/Lehrfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art7_4_GG;I;Privatschulfreiheit;Privatschulfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art7_5_GG;I;Privatschulfreiheit ;Privatschulfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
Art7_6_GG;I;;;;
Art8_1_GG;I;Versammlungsfreiheit;Versammlungsfreiheit;Bes. Freiheitsrecht;Freiheitsrecht
