;id;short;year
0;BVerfGE100_1;Rentenanwartschaften der DDR;1999
1;BVerfGE100_104;Rentenanwartschaften der DDR;1999
2;BVerfGE100_138;Rentenanwartschaften der DDR;1999
3;BVerfGE100_195;Einheitswert;1999
4;BVerfGE100_209;Völkerrechtliches Qualifikationsverfahren, Atomwaffenstationierung;1999
5;BVerfGE100_214;Gewerkschaftsausschluss;1999
6;BVerfGE100_226;Denkmalschutz;1999
7;BVerfGE100_249;Allgemeine Verwaltungsvorschriften;1999
8;BVerfGE100_263;Gegenläufige Kindesentführung;1999
9;BVerfGE100_266;Kosovo-Einsatz;1999
10;BVerfGE100_271;Lohnabstandsklausel;1999
11;BVerfGE100_289;Aktiengesellschaft;1999
12;BVerfGE100_313;Telekommunikationsüberwachung;1999
13;BVerfGE100_59;Rentenanwartschaften der DDR;1999
15;BVerfGE101_1;Hennenhaltungsverordnung;1999
16;BVerfGE101_106;Verwaltungsbehörde;1999
17;BVerfGE101_132;Heileurythmisten ;1999
18;BVerfGE101_141;Ausgleichsfonds;1999
19;BVerfGE101_151;Umsatzsteuerbefreiung (GmbH & Co KG);1999
20;BVerfGE101_158;Länderfinanzausgleich;1999
21;BVerfGE10_118;Behördliches Presseverbot;1959
22;BVerfGE101_239;Stichtagregelung im Vermögensgesetz;1999
24;BVerfGE101_275;Fahnenflucht;1999
26;BVerfGE101_297;Häusliches Arbeitszimmer;1999
27;BVerfGE101_312;Versäumnisurteil;1999
28;BVerfGE101_331;Vergütung für Berufsbetreuer;1999
30;BVerfGE10_136;Verbot der Rücklieferung deutscher Staatsangehöriger;1959
31;BVerfGE101_361;Caroline von Monaco II;1999
32;BVerfGE101_397;Nachlasspfleger;2000
34;BVerfGE101_46;Besorgnis der Befangenheit (Kirchhof);1999
35;BVerfGE101_54;Schuldrechtsanpassungsgesetz;1999
38;BVerfGE10_20;Preußischer Kulturbesitz;1959
39;BVerfGE10_200;Friedensrichter Baden-Württemberg;1959
40;BVerfGE102_1;Altlasten;2000
41;BVerfGE102_122;Selbstablehnung (Papier);2000
42;BVerfGE102_147;Europäische Bananenmarktordnung;2000
45;BVerfGE102_192;Besorgnis der Befangenheit (Jentsch);2000
46;BVerfGE102_197;Spielbankgesetz Baden-Württemberg;2000
48;BVerfGE102_224;Parlamentarische Funktionszulage Abgeordnetenentschädigung;2000
49;BVerfGE102_245;Abgeordnetenentschädigung;2000
50;BVerfGE102_254;Wiedergutmachung von Vermögensschäden;2000
51;BVerfGE102_26;Frischzellen;2000
53;BVerfGE10_234;Platow-Amnestie;1959
54;BVerfGE102_347;Schockwerbung;2000
55;BVerfGE102_370;Körperschaftsstatus der Zeugen Jehovas;2000
56;BVerfGE102_41;Beschädigtengrundrente;2000
60;BVerfGE10_264;Verwaltungsgerichtlicher Kostenvorschuss;1960
63;BVerfGE10_285;Bundesgerichte;1960
64;BVerfGE102_99;Landesabfallgesetz Nordrhein-Westfalen;2000
65;BVerfGE10_302;Aufenthaltsbestimmungsrecht des Vormunds;1960
66;BVerfGE103_1;Singularzulassung von Rechtsanwälten;2000
67;BVerfGE103_111;Wahlprüfung Hessen;2001
68;BVerfGE103_142;Wohnungsdurchsuchung, Gefahr im Verzug;2001
69;BVerfGE103_164;ÖDP;2001
70;BVerfGE103_172;Altersgrenze für Kassenärzte;2001
72;BVerfGE103_197;Pflegeversicherung III;2001
73;BVerfGE103_225;Pflegeversicherung II;2001
74;BVerfGE103_242;Pflegeversicherung III;2001
75;BVerfGE103_271;Pflegeversicherung IV;2001
76;BVerfGE103_293;Urlaubsanrechnung;2001
78;BVerfGE103_310;Beschäftigungszeiten öffentlicher Dienst (MfS/AfNS);2001
80;BVerfGE103_332;Landesnaturschutzgesetz Schleswig-Holstein;2001
81;BVerfGE103_392;Krankenversicherungsbeitrag für Selbständige, Mindestbemessungsgrenze;2001
83;BVerfGE103_41;NPD-Verbotsverfahren (Akteneinsicht);2001
