Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
Sachverhalt;;;;"<p>Während seiner Semesterferien wird Jurastudent J von seiner alten Freund*innengruppe zu einem Konzert mitgenommen, ""um mal auf andere Gedanken zu kommen"". Im Club angekommen, muss der bekennende Trap-Fan J entsetzt feststellen, dass es sich um das – mit 100 Personen mäßig besuchte – Konzert einer alternden Punk-Band handelt. Um seine Freund*innen nicht zu verärgern, beschließt J dennoch, eine Weile zu bleiben. Er hält sich aber lieber am Tresen der Bar fest, um nicht in den Pogo zu geraten. Nach einer ganzen Weile sehr lauter Songs mit viel Geschrei kündigt die Sängerin S den nächsten Song ""Deutschland muss sterben"" mit den Worten an: ""Gegen den Nationalismus steht immer noch dieser Song! Gegen die andauernde Verehrung von Kriegshetze und Nationalismus durch Denkmäler! Gegen den Kriegsklotz in Hamburg!"". J ist angesichts des Textes und der mitgrölenden Menge entsetzt: </p>
<p>Wo Faschisten und Multis das Land regieren,
wo Leben und Umwelt keinen interessieren,
wo alle Menschen ihr Recht verliern,
da kann eigentlich nur noch eins passieren:
Deutschland muss sterben, damit wir leben können,
Deutschland muss sterben, damit wir leben können,
Deutschland muss sterben, damit wir leben können,
Deutschland muss sterben, damit wir leben können.
Schwarz ist der Himmel und rot ist die Erde,
gold sind die Hände jener Bonzenschweine,
doch der Bundesadler stürzt bald ab,
denn Deutschland, wir tragen Dich zu Grab.
Wo Faschisten und Multis das Land regieren,
wo Leben und Umwelt keinen interessieren,
wo alle Menschen ihr Recht verliern,
da kann eigentlich nur noch eins passieren:
Deutschland muss sterben, damit wir leben können,
[...].</p>
<p>Wo Raketen und Panzer den Frieden sichern,
AKW's und Computer das Leben verbessern, bewaffnete Roboter überall,
doch Deutschland, wir bringen Dich zu Fall. 
Deutschland muss sterben, damit wir leben können,
[...].</p>
<p>Deutschland, verrecke, damit wir leben können,
Deutschland! </p>
<p>J ist überzeugt, dass der Inhalt dieses Textes zur Vernichtung der Bundesrepublik und der freiheitlich-demokratischen Verfassungsordnung aufruft und ist sich sicher, dass S und die Band sich damit strafbar machen. Nachdem er versucht hat, seiner Freundin F seine Empörung ins Ohr zu schreien, aber nur ein verwirrtes Schulterzucken als Antwort erhält, macht er sich auf den Weg zur Polizei und zeigt die Sängerin S an. Die zuständige Staatsanwaltschaft nimmt umgehend die Ermittlungen auf und erhebt schließlich Anklage beim Amtsgericht. Dieses stellt fest, dass das Lied nicht als jugendgefährdend indiziert ist und Aufzeichnungen davon frei erhältlich sind. Dennoch verurteilt das Gericht S wegen Verunglimpfung des Staates und seiner Symbole gemäß § 90 a Abs. 1 Nr. 1 StGB zu einer Geldstrafe von 150 Tagessätzen. Das Gericht begründet die Verurteilung der S mit dem eindeutigen Wortlaut des Liedes. Dieser bringe unmissverständlich zum Ausdruck, dass sich eine Besserung der Lage für die Staatsbürger*innen nur durch eine Vernichtung des Staatssystems der Bundesrepublik Deutschland erreichen lasse. Als rechtstaatlich verfasste Demokratie sei die Bundesrepublik Deutschland in ihrem Bestand von der inneren Zustimmung ihrer Bürger:innen abhängig und auf ein Mindestmaß an Achtung angewiesen. Dies sei insbesondere notwendig, um die Grundrechtsausübung selbst wirksam gewährleisten zu können. Darin liege ein verfassungsrechtlich und strafrechtlich geschütztes Rechtsgut, das im vorliegenden Fall die Berufung auf die Kunstfreiheit versage. </p>
<p>Nachdem auch das letztinstanzliche Gericht die Verurteilung der S bestätigt und ihr diese Entscheidung am Montag, den 1.4.2019 zustellt, beschließt S Verfassungsbeschwerde zu erheben. Ihre Prozessvertreterin, die Anwältin A, arbeitet noch am selben Tag einen Schriftsatz aus, in welchem sie die Verletzung der Kunstfreiheit der S rügt. Den unterschriebenen Schriftsatz legt sie nachmittags ihrem Assistenten X auf den Schreibtisch, mit der Bitte, diesen sofort postalisch nach Karlsruhe zu schicken. Leider hat X vergessen, neue Briefmarken zu kaufen und schickt den Schriftsatz daher nicht sofort ab. Über dem Stress in den nächsten Tagen und den Vorbereitungen seiner ersten Demonstration zum Tag der Arbeit vergisst er auch den Schriftsatz auf seinem Schreibtisch. Am Freitag, den 2.5.2019 fällt ihm dieser wieder in die Hände. Er übermittelt den Schriftsatz sofort per Telefax an das Bundesverfassungsgericht, wo dieser noch am Vormittag eingeht. </p>
";;;;;;;;;;;Sachverhalt;Fall 1 - Kunstfreiheit;21300;21305
§ 90a StGB;StGB;ist;Verfassungsmäßigkeit;Hinweis: Beschränken Sie sich in Ihrer Bearbeitung auf die Prüfung der Kunstfreiheit der S. Von der formellen und materiellen Verfassungsmäßigkeit des § 90a StGB ist auszugehen.;;;;;;;;;;;Sachverhalt;Fall 1 - Kunstfreiheit;21306;21316
Fallfrage;;;;"<p>Hat die Verfassungsbeschwerde der S Aussicht auf Erfolg? </p>
<p>Hinweis: </p>
<p>Beschränken Sie sich in Ihrer Bearbeitung auf die Prüfung der Kunstfreiheit der S. </p>
<p>Von der formellen und materiellen Verfassungsmäßigkeit des § 90 a StGB ist auszugehen. </p>
<p>§ 90a StGB: Verunglimpfung des Staates und seiner Symbole</p>
<p> (1) Wer öffentlich, in einer Versammlung oder durch Verbreiten eines Inhalts (§ 11 Absatz 3)
1.	die Bundesrepublik Deutschland oder eines ihrer Länder oder ihre verfassungsmäßige Ordnung beschimpft oder böswillig verächtlich macht oder
2.	[...]
wird mit Freiheitsstrafe bis zu drei Jahren oder mit Geldstrafe bestraft. </p>";;;;;;;;;;;Fallfrage;Fall 1 - Kunstfreiheit;21330;21332
§ 90a StGB;StGB;auszugehen;Verunglimpfung;§ 90a StGB Verunglimpfung des Staates und seiner Symbole (1) Wer öffentlich, in einer Versammlung oder durch Verbreiten eines Inhalts (§ 11 Absatz 3) 1. die Bundesrepublik Deutschland oder eines ihrer Länder oder ihre verfassungsmäßige Ordnung beschimpft oder böswillig verächtlich macht oder 2. […] wird mit Freiheitsstrafe bis zu drei Jahren oder mit Geldstrafe bestraft.;;;;;;;;;;;Fallfrage;Fall 1 - Kunstfreiheit;21333;21343
Art. 93 I Nr. 4 a GG;GG;;;Das Bundesverfassungsgericht ist für die ihm ausdrücklich zugewiesenen Verfahrensarten zuständig (sogenanntes Enumerationsprinzip). Dazu gehört gemäß Art. 93 I Nr. 4 a GG, § 13 Nr. 8 a BVerfGG auch die Verfassungsbeschwerde.;;;;;;;;;I. Zuständigkeit;A. Zulässigkeit;Lösung;Fall 1 - Kunstfreiheit;22200;22300
§ 13 Nr. 8 a BVerfGG;BVerfGG;;;Das Bundesverfassungsgericht ist für die ihm ausdrücklich zugewiesenen Verfahrensarten zuständig (sogenanntes Enumerationsprinzip). Dazu gehört gemäß Art. 93 I Nr. 4 a GG, § 13 Nr. 8 a BVerfGG auch die Verfassungsbeschwerde.;;;;;;;;;I. Zuständigkeit;A. Zulässigkeit;Lösung;Fall 1 - Kunstfreiheit;22350;22400
§ 90 I BVerfGG;BVerfGG;ist;GG;Für das Verfahren der Verfassungsbeschwerde ist gemäß Art. 93 I Nr. 4 a GG i.V.m. § 90 I BVerfGG jedermann beschwerdefähig.;;;;;;;;;II. Beschwerdefähigkeit;A. Zulässigkeit;Lösung;Fall 1 - Kunstfreiheit;22470;22484
§ 90 I BVerfGG;BVerfGG;sind;Sinne;S ist als lebende natürliche Person Trägerin von Grundrechten und damit jedermann im Sinne von § 90 I BVerfGG. 3 Klausurtaktik Da natürliche Personen regelmäßig beschwerdefähig sind, ließe sich hier auch kürzer formulieren.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;22707;22721
Art. 93 I Nr. 4a GG;GG;wäre;Gemäß;Eine Alternative wäre: Gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG ist jedermann, also jede Person, die Trägerin von Grundrechten oder grundrechtsgleichen Rechten sein kann, beschwer3 Siehe zur Verfassungsbeschwerde Linke, § 10, im OpenRewi Grundrechte Lehrbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;22865;22884
§ 90 I BVerfGG;GG;ist;Gemäß;Eine Alternative wäre: Gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG ist jedermann, also jede Person, die Trägerin von Grundrechten oder grundrechtsgleichen Rechten sein kann, beschwer3 Siehe zur Verfassungsbeschwerde Linke, § 10, im OpenRewi Grundrechte Lehrbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;22886;22900
