Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
Art. 31 und 142 GG;GG;regeln;Verhältnis;Art. 31 und 142 GG regeln etwas missverständlich das Verhältnis zwischen den Grundrechten der Landesverfassungen und denen des Grundgesetzes. Art. 142 GG sichert im Ergebnis die Geltung der Landesgrundrechte ab, soweit diese mit den Grundrechten des Grundgesetzes übereinstimmen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;60000;60018
Art. 142 GG;GG;sichert;Grundgesetzes;Art. 31 und 142 GG regeln etwas missverständlich das Verhältnis zwischen den Grundrechten der Landesverfassungen und denen des Grundgesetzes. Art. 142 GG sichert im Ergebnis die Geltung der Landesgrundrechte ab, soweit diese mit den Grundrechten des Grundgesetzes übereinstimmen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;60142;60153
Art. 31 GG;GG;können;Geltung;Landesgrundrechte, die im Widerspruch zum Grundgesetz stehen, können nach Art. 31 GG keine Geltung beanspruchen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;60354;60364
Art. 142 GG;GG;entspricht;Begrenzung;Die Begrenzung des Art. 142 GG auf die Art. 1–18 GG entspricht nicht dem Sinn und Zweck der Vorschrift, auch Justizgrundrechte und sonstige grundrechtsgleiche Rechte sollten erfasst werden.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;60480;60491
Art. 1–18 GG;GG;entspricht;Sinn;Die Begrenzung des Art. 142 GG auf die Art. 1–18 GG entspricht nicht dem Sinn und Zweck der Vorschrift, auch Justizgrundrechte und sonstige grundrechtsgleiche Rechte sollten erfasst werden.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;60500;60512
Art. 51 GRC;GRC;durchführen;Unionsrecht;Die Grundrechtecharta bindet alle Organe der Union und die europäischen Mitgliedstaaten, wenn sie Unionsrecht durchführen, Art. 51 GRCh.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;61286;61297
Art. 3 III EUV;EUV;realisieren;Binnenmarktes;Die Grundfreiheiten zielen primär darauf ab, das Ziel eines europäischen Binnenmarktes, Art. 3 III EUV, zu realisieren.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;62360;62374
Art. 59 II GG;GG;ist;EMRK;Besonders relevant für das deutsche Recht ist dabei die Europäische Menschenrechtskonvention (EMRK), welche aufgrund von Art. 59 II GG als völkerrechtlicher Vertrag den Rang eines einfachen Bundesgesetzes hat. Daraus wird auch die Völkerrechtsfreundlichkeit des Grundgesetzes als Auslegungsmaxime abgeleitet.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;62842;62855
Art. 1–19 GG;GG;stellen;Grundrechte;Systematisch stellen die Grundrechte in Art. 1–19 GG den ersten Abschnitt der Verfassung dar.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;64241;64253
Art. 116 GG;GG;voraussetzen;Sinne;Grundrechte sind materiell in erster Linie Menschenrechte, denn alle natürlichen Personen sind prinzipiell Träger:innen von Grundrechten. Beschränkt wird dies bei einigen Grundrechten, die als sogenannte „Deutschengrundrechte“ für die Grundrechtsberechtigung die deutsche Staatsangehörigkeit im Sinne des Art. 116 GG voraussetzen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;64963;64974
